Location,1900s,2025,2100
"Kalifornsky, Alaska, United States",EB1,DHB2,CGA1
"Kampala, Uganda",AGA1,AGA2,AGA2
"Kansas City, Missouri",DGA2,CGA2,CSZ1
"Karachi, Pakistan",ADZ1,BDZ1,ADZ2
"Kathmandu, Nepal",BWA1,CWA1,BWA2
"Kenai, Alaska, United States",EB1,DHB2,CGA1
"Ketchikan, Alaska, United States",DB1,DMB2,CMA1
"Khartoum, Sudan",ADZ1,ADZ2,ZDX1
"Kigali, Rwanda",BGA1,AGA1,AGA2
"Kingston, Jamaica",AGA2,AHA2,AMZ1
"Kingstown, Saint Vincent and the Grenadines",AHA2,AGA2,ASZ1
"Kinshasa, Democratic Republic of the Congo",AGA2,AGA2,ASZ1
"Knik-Fairview, Alaska, United States",DB1,DGB2,CGA1
"Kolkata, India",BWZ1,AWZ1,AWZ2
"Kota, India",BWZ2,BWZ2,AWX1
"Kralendijk, Bonaire",ADA2,ASA2,ADZ1
"Krasnoyarsk, Russia",EGB2,EGA1,DSA2
"Kuala Lumpur, Malaysia",AHA2,AHA2,ZGZ1
"Kyiv, Ukraine",DGB2,DGA1,CSA2
"Lagos, Nigeria",AGA2,ASZ1,ZSZ1
"Lahore, Pakistan",BDZ1,BSZ1,BWZ2
"Lansing, Michigan, United States",DHA1,DGA1,CGA2
"Las Vegas–Henderson–Paradise, Nevada, United States",CDZ1,BDZ1,BDZ2
"Laval, Quebec, Canada",DHA1,DHA1,DHA2
"Lethbridge, Alberta, Canada",DSB2,DSA1,CSA2
"Libreville, Gabon",AHA2,AHA2,AGZ1
"Lilongwe, Malawi",BWA1,BWA2,AWZ1
"Lima, Peru",BDA1,BDA2,ADA2
"Lincoln, Nebraska, United States",DGA2,DGA2,CSZ1
"Lisbon, Portugal",BMA1,BMA1,BMA2
"Little Rock, Arkansas, United States",CGA2,CGA2,BGZ1
"Ljubljana, Slovenia",CHA1,CHA1,CGA2
"Lompoc, California, United States",BMB2,BMB2,BMA1
"Lomé, Togo",ASA2,ASA2,ASZ1
"London, United Kingdom",CGB2,CGB2,CMA1
"Longnan, China",CWA1,CWA1,CWA2
"Longueuil, Quebec, Canada",DHA1,DHA1,DHA2
"Longyearbyen, Svalbard & Jan Mayen",EC1,EC1,DHB1
"Los Angeles, California, United States",BDA1,BDA1,BDA2
"Louisville/Jefferson County, Kentucky–Indiana, United States",CHA2,CHA2,CGZ1
"Luanda, Angola",ADA2,ADA2,ADZ1
"Lusaka, Zambia",BWA1,BWA2,AWZ1
"Lutsen, Minnesota, United States",EHB2,DHA1,DGA2
"Luxembourg, Luxembourg",CHB2,CHB2,CMA2
"Macquarie Island Research Station, Australia",CC2,CC2,CC2
"Madison, Wisconsin, United States",DHA1,DGA1,CGA2
"Madrid, Spain",CMA1,CMA2,BDZ1
"Malabo, Equatorial Guinea",AHA1,AHA1,AHA2
"Managua, Nicaragua",ASA2,ASA2,ZSZ1
"Manama, Bahrain",ADZ1,BDZ2,ADX1
"Mandalgovi, Mongolia",EDB2,EDA1,EDA2
"Manila, Philippines",AGA2,AGZ1,ZGZ1
"Maputo, Mozambique",BSA2,ASA2,ADZ1
"Maseru, Lesotho",CSA1,BWA1,BWA2
"Mbabane, Eswatini",BWB2,BWA1,BWA2
"Meadow Lakes, Alaska, United States",EB1,DGB2,CGA1
"Meeteetse, Wyoming, United States",DSB2,DSA1,CDA2
"Melilla, Melilla",BDA2,BDA2,BDZ1
"Memphis, Tennessee",CHA2,CGA2,BGZ1
"Mexico City, Mexico",BWB2,BWA1,BWA2
"Miami–Fort Lauderdale, Florida, United States",AGA2,AGA2,ASZ1
"Milwaukee, Wisconsin, United States",DHA1,DGA1,CGA2
"Minneapolis–St. Paul, Minnesota, United States",EGA1,DGA1,CSZ1
"Minsk, Belarus",DHB2,DGB2,CSA2
"Miramichi, New Brunswick, Canada",EHB2,DHA1,DHA2
"Mississauga, Ontario, Canada",DHA1,DGA1,CGA2
"Mogadishu, Somalia",ADA2,ADZ1,ZDZ1
"Moncton, New Brunswick, Canada",DHB2,DHA1,CHA2
"Monrovia, Liberia",AHA2,AHA2,AHZ1
"Montevideo, Uruguay",BGA1,BGA1,BGA2
"Montgomery, Alabama, United States",CGA2,BGA2,BGZ1
"Montpelier, Vermont, United States",DHB2,DHA1,DHA2
